hospital_name,latitude,longitude
"Vasan Eye Care Hospital, Bannergatta Road",12.8822813,77.5957945
Varalakshmi Hospital,12.924624,77.6170966
Kala Hospital,13.0223669,77.5587304
"Shekhar Hospital, Jayanagar",12.917589,77.5948906
Rajalakshmi Hospital,13.0842019,77.5308891
"Vasan Eye Care Hospital, Sarakki",12.9103393,77.5732398
Lions Airport City Hospital,12.9551501,77.7051643
Mahanth Hospital,12.9079615,77.6235715
Sunayana Eye Hospital,12.9255233,77.5937748
"Lakshmi Hospital, Ganganagar",13.024837,77.592089
Lokhande S Hospital,13.0186045,77.6479433
Dr. T.V.Ramesh Piles Hospital,13.0250141,77.5856289
Dr Kamini Rao Hospital(A Unit Of Bacc Health Care Pvt Ltd),12.9163994,77.5847384
HCG,12.9605309,77.592659
Dr Ambedkar Medical College Hospital,13.0218188,77.613084
"Supriya Hospital, Bengaluru Urban",12.9929043,77.5588015
Manju Sree Hospital,13.0212406,77.6070739
Raj Mahal Vilas Hospital,13.0322819,77.5770459
Devi Eye Hospital,12.9412109,77.6238987
Essential Hospital,12.974865,77.5096312
Shree Vijayalakshmi Hospital and Trauma Centre,13.0373572,77.6409059
Kalasa Maternity Home,12.9548208,77.5672585
Sidvin Hospital Pvt Ltd,12.982442,77.5493681
Abhilash Hospital And Sara Rehabilitation Centre,12.9246384,77.5509238
"HCG, Koramangala",12.9343279,77.6228848
"Ganesh Nursing Home, Bengaluru Urban",12.8957636,77.6330289
Kavya Hospital,12.8987442,77.6263127
Sg Hospital,12.9275311,77.5457901
Place Guttahalli Maternity Home,12.9988238,77.5819892
"Phoenix Hospital, Bengaluru Urban",12.9608027,77.5911717
"Shreya Hospital, Bengaluru Rural",12.9215104,77.4832503
"Vasan Eye Care Hospital, Banaswadi",13.0241341,77.6335546
Sri Annapoorneshwari Hospital,12.9255704,77.4857756
"Vasan Eye Care Hospital, R.T.Nagar",13.0251833,77.5920609
Kims Hospital and Research Centre,12.9563016,77.5747874
"Karthik Hospital, Bengaluru Urban",12.9489406,77.5949925
Bangalore Kidney Stones Hospital,12.9670215,77.5892667
Sree Lakshmi Hospital,12.9825937,77.6814736
"Abhaya Eye Hospital, Super Speciality Eye Care Centre",12.9271131,77.5471291
Mediscope Hospital Private Limited,12.9994472,77.6162584
Medi Derma Hospital,13.0555559,77.6517145
Mathru Hospital - Bangalore,12.9110975,77.4806057
Manjushree Speciality Hospital,12.9825845,77.6124926
Namratha Nursing And Maternity Home,13.0045747,77.5432728
The Pulse Multi Speciality Hospital,12.9424801,77.5473283
Popular Hospital,12.9514854,77.5703564
Gavipuramguttahalli Maternity Home,12.9526505,77.5548633
Ayurseva Hospital,13.0139247,77.6640775
Spine Care And Ortho Care Hospital,12.9745134,77.5493883
Vijayashree Hospitals,12.8579673,77.5892687
Tanmay Hospital,12.9733764,77.5474034
